Fecha,Lluvia,Temperatura Maxima,Temperatura Minima,Temperatura Media,Evaporacion Tanque,Humedad Relativa,Brillo Solar,Nubosidad,Velocidad Viento,Direccion Viento,Presion Atmosferica
2026-06-06,0.0,29.8,15.6,23.3,4.0,79.0,7.3,6.0,6.2,45.0,652.5
2026-06-07,4.4,29.4,15.4,22.7,4.5,83.0,5.5,7.0,2.5,0.0,652.0
2026-06-08,0.0,31.0,17.0,24.4,4.0,78.0,6.4,8.0,6.2,0.0,652.2
2026-06-09,1.8,29.8,16.4,23.5,5.0,82.0,6.0,3.0,4.7,9.0,652.9
2026-06-10,0.0,28.0,15.6,22.7,3.8,84.0,3.0,8.0,2.3,0.0,651.7
2026-06-11,10.0,25.6,16.2,21.4,2.7,87.0,0.0,8.0,0.0,0.0,651.1
2026-06-12,0.6,28.4,16.0,23.1,2.1,78.0,2.5,8.0,2.3,0.0,651.9
2026-06-13,0.0,31.0,16.6,24.3,3.0,75.0,4.6,6.0,2.3,0.0,653.4
2026-06-14,0.0,20.4,17.6,23.8,4.8,75.0,4.5,6.0,4.7,45.0,654.2
2026-06-15,13.4,31.4,15.4,24.5,1.7,68.0,9.4,2.0,7.3,45.0,653.4
2026-06-16,1.3,32.6,15.6,24.7,7.0,73.0,7.4,4.0,2.5,0.0,652.7
2026-06-17,2.1,33.0,15.4,25.3,5.7,67.0,8.0,3.0,3.7,0.0,652.8
2026-06-18,0.0,31.6,17.0,24.6,6.3,68.0,8.6,4.0,3.7,0.0,652.7
2026-06-19,15.0,32.4,15.2,24.1,5.5,70.0,7.6,5.0,2.5,0.0,653.0
2026-06-20,0.0,29.6,12.8,22.5,5.1,69.0,8.1,2.0,2.5,0.0,653.1
2026-06-21,4.5,28.6,12.4,20.6,5.7,81.0,7.7,4.0,3.7,0.0,653.0
2026-06-22,18.2,27.0,14.0,21.4,5.2,81.0,3.5,7.0,4.9,90.0,653.6
2026-06-23,12.3,28.0,15.4,22.1,3.7,80.0,6.0,6.0,6.0,45.0,654.3
2026-06-24,7.2,27.2,15.0,21.7,4.2,80.0,6.6,4.0,11.0,45.0,653.9
2026-06-25,3.1,24.2,15.0,19.9,1.6,87.0,3.3,8.0,3.7,0.0,654.0
2026-06-26,35.7,27.4,14.8,21.9,0.8,78.0,5.8,4.0,6.0,0.0,654.2
2026-06-27,0.0,26.8,14.4,21.7,2.8,80.0,8.3,7.0,6.0,90.0,653.8
2026-06-28,1.4,27.8,16.8,23.0,4.7,74.0,7.0,3.0,5.0,0.0,654.1
2026-06-29,1.4,26.4,13.2,20.5,5.2,84.0,2.4,7.0,4.7,45.0,653.8
2026-06-30,3.4,28.2,14.0,22.5,2.5,77.0,9.1,3.0,6.2,9.0,653.5
2026-07-01,1.6,28.2,16.4,22.9,5.0,78.0,6.2,6.0,3.7,0.0,653.3
2026-07-02,0.9,27.8,15.4,22.6,4.0,76.0,4.8,8.0,4.9,0.0,654.0
2026-07-03,0.0,28.4,15.4,22.3,4.3,77.0,6.8,6.0,3.7,0.0,655.0
2026-07-04,0.0,28.6,10.0,20.5,4.6,73.0,9.7,3.0,4.9,0.0,654.9
2026-07-05,17.0,28.2,10.2,20.1,4.8,80.0,8.6,5.0,3.7,0.0,654.4
2026-07-06,,,14.4,20.9,4.5,80.0,,8.0,3.7,35.0,653.6
