Fecha,Lluvia,Temperatura Maxima,Temperatura Minima,Temperatura Media,Evaporacion Tanque,Humedad Relativa,Brillo Solar,Nubosidad,Velocidad Viento,Direccion Viento,Presion Atmosferica
2026-06-06,0.0,26.0,11.8,18.0,1.9,78.0,3.8,7.0,6.2,90.0,579.2
2026-06-07,0.7,23.0,12.0,16.5,2.5,84.0,0.8,8.0,3.7,45.0,579.1
2026-06-08,0.0,22.4,13.2,17.2,0.8,80.0,3.4,8.0,5.6,180.0,578.7
2026-06-09,18.6,23.2,11.8,16.9,2.0,84.0,4.3,8.0,4.9,0.0,578.9
2026-06-10,17.1,22.8,11.4,15.9,3.0,87.0,2.3,8.0,0.0,0.0,578.2
2026-06-11,3.2,18.8,12.8,15.5,2.5,87.0,0.0,8.0,2.5,0.0,577.4
2026-06-12,0.4,20.4,12.4,16.3,0.1,81.0,2.1,8.0,7.4,180.0,578.2
2026-06-13,0.5,25.2,12.0,18.9,3.0,73.0,5.8,6.0,2.5,0.0,578.9
2026-06-14,0.3,27.4,11.6,18.9,3.9,73.0,4.1,4.0,0.0,0.0,579.6
2026-06-15,14.2,26.6,8.4,18.3,0.1,75.0,6.0,6.0,2.5,45.0,579.4
2026-06-16,0.0,23.6,11.0,16.4,3.8,54.0,5.8,5.0,6.2,90.0,579.3
2026-06-17,7.8,23.4,10.6,16.0,3.2,82.0,3.5,8.0,2.5,45.0,579.2
2026-06-18,0.0,22.4,8.2,15.3,1.9,83.0,6.3,5.0,8.6,45.0,579.3
2026-06-19,0.0,25.4,10.0,17.0,1.7,75.0,8.0,5.0,6.1,45.0,579.3
2026-06-20,0.0,26.0,9.0,18.3,4.0,71.0,9.2,5.0,6.2,45.0,579.3
2026-06-21,8.9,23.6,8.4,16.1,4.9,75.0,6.7,7.0,6.1,90.0,579.1
2026-06-22,3.7,23.4,10.0,15.9,2.0,81.0,3.3,7.0,4.9,45.0,579.1
2026-06-23,0.4,24.0,12.0,17.4,2.9,72.0,6.6,6.0,2.5,0.0,579.3
2026-06-24,0.0,24.2,11.2,17.5,3.0,73.0,4.8,7.0,6.2,0.0,579.0
2026-06-25,0.0,21.4,12.0,17.0,3.6,68.0,8.3,5.0,11.1,45.0,579.1
2026-06-26,0.0,23.8,6.4,16.3,2.6,72.0,7.3,3.0,10.5,45.0,579.3
2026-06-27,0.0,24.0,13.0,19.1,4.0,68.0,6.9,8.0,12.3,45.0,579.0
2026-06-28,0.0,23.4,9.4,17.7,4.1,60.0,10.4,0.0,12.3,45.0,579.1
2026-06-29,0.0,24.2,10.0,18.1,2.3,64.0,10.2,1.0,9.9,45.0,578.9
2026-06-30,0.1,26.2,7.6,18.1,3.1,66.0,6.1,5.0,7.4,0.0,578.8
2026-07-01,0.0,26.0,9.6,17.9,5.5,74.0,5.6,5.0,4.9,45.0,579.3
2026-07-02,0.0,23.8,9.2,16.5,2.9,75.0,8.4,7.0,8.6,90.0,579.2
2026-07-03,0.0,24.2,8.4,15.9,4.1,75.0,6.1,8.0,7.3,9.0,579.2
2026-07-04,0.0,26.4,7.8,17.3,1.6,72.0,8.6,5.0,2.5,45.0,579.3
2026-07-05,0.5,25.8,5.4,16.3,5.8,71.0,8.3,6.0,3.7,45.0,579.4
2026-07-06,,,12.0,18.2,0.6,68.0,,8.0,0.0,0.0,578.9
