Fecha,Lluvia,Nubosidad,Velocidad Viento,Direccion Viento
2026-06-06,8.6,7.0,9.0,180.0
2026-06-07,2.7,8.0,11.0,45.0
2026-06-08,17.6,8.0,9.0,180.0
2026-06-09,6.0,8.0,9.0,180.0
2026-06-10,0.3,8.0,9.0,180.0
2026-06-11,3.0,8.0,7.0,180.0
2026-06-12,0.0,8.0,9.0,180.0
2026-06-13,0.0,5.0,9.0,315.0
2026-06-14,0.0,3.0,13.3,225.0
2026-06-15,17.5,5.0,13.3,45.0
2026-06-16,1.2,6.0,13.3,180.0
2026-06-17,0.0,5.0,11.0,180.0
2026-06-18,0.0,6.0,13.3,180.0
2026-06-19,0.0,7.0,13.3,45.0
2026-06-20,0.0,6.0,11.0,45.0
2026-06-21,0.0,6.0,13.3,9.0
2026-06-22,17.7,8.0,9.0,360.0
2026-06-23,0.0,5.0,9.0,180.0
2026-06-24,0.0,4.0,11.3,180.0
2026-06-25,0.0,8.0,9.0,180.0
2026-06-26,0.0,4.0,11.0,45.0
2026-06-27,0.0,5.0,13.3,180.0
2026-06-28,0.0,7.0,13.3,180.0
2026-06-29,0.0,6.0,13.3,180.0
2026-06-30,0.0,5.0,13.3,90.0
2026-07-01,0.0,6.0,11.0,45.0
2026-07-02,0.0,7.0,13.3,180.0
2026-07-03,0.0,6.0,11.0,180.0
2026-07-04,0.0,8.0,13.3,180.0
2026-07-05,1.7,7.0,13.3,180.0
2026-07-06,,8.0,13.5,135.0
