Fecha,Lluvia,Temperatura Maxima,Temperatura Minima,Temperatura Media,Evaporacion Tanque,Humedad Relativa,Brillo Solar,Nubosidad,Velocidad Viento,Direccion Viento,Presion Atmosferica
2026-06-06,0.0,25.0,11.6,17.7,2.3,80.0,3.8,8.0,4.9,0.0,578.9
2026-06-07,0.5,21.0,13.0,17.3,4.1,81.0,1.4,8.0,2.5,0.0,578.7
2026-06-08,0.4,22.0,12.4,17.0,4.0,82.0,2.0,8.0,4.9,0.0,579.6
2026-06-09,6.1,23.0,12.0,16.3,2.5,84.0,3.4,8.0,4.9,0.0,580.0
2026-06-10,21.0,22.0,11.8,15.4,1.9,86.0,2.1,8.0,3.7,0.0,578.6
2026-06-11,5.8,18.2,12.8,15.4,2.2,89.0,0.0,8.0,0.0,0.0,580.9
2026-06-12,0.2,20.2,12.0,15.9,3.8,83.0,3.0,8.0,9.9,180.0,578.9
2026-06-13,0.3,24.2,11.6,17.9,3.5,73.0,7.2,6.0,4.9,0.0,580.2
2026-06-14,0.8,27.4,11.6,18.6,4.2,73.0,4.6,4.0,3.7,0.0,580.3
2026-06-15,17.0,26.0,8.2,17.3,4.5,83.0,5.3,2.0,4.9,0.0,581.1
2026-06-16,0.0,23.4,10.6,16.3,3.7,78.0,5.8,3.0,3.7,0.0,580.6
2026-06-17,8.8,23.0,10.4,16.5,4.2,80.0,3.5,7.0,6.2,0.0,580.7
2026-06-18,0.0,23.2,7.6,16.4,3.1,79.0,6.8,3.0,6.2,0.0,580.7
2026-06-19,0.0,24.6,9.4,17.5,3.5,74.0,8.5,6.0,6.2,0.0,580.5
2026-06-20,0.0,25.6,8.8,18.4,3.5,68.0,8.9,2.0,7.4,0.0,579.8
2026-06-21,1.8,24.4,8.0,16.8,4.9,75.0,5.4,6.0,6.2,0.0,579.5
2026-06-22,4.3,21.8,10.8,16.3,2.8,85.0,3.0,7.0,3.7,0.0,580.5
2026-06-23,0.7,23.0,11.8,17.5,3.9,76.0,5.9,5.0,13.6,360.0,580.8
2026-06-24,0.0,23.6,11.6,17.7,3.7,76.0,4.7,5.0,13.6,45.0,580.2
2026-06-25,0.0,22.2,10.6,16.5,4.1,75.0,7.2,6.0,14.8,360.0,579.9
2026-06-26,0.0,23.0,5.6,15.7,4.3,80.0,7.9,5.0,14.8,360.0,580.4
2026-06-27,0.0,23.6,12.2,18.1,4.0,77.0,6.3,8.0,13.6,45.0,580.2
2026-06-28,0.0,23.6,9.0,18.1,2.0,55.0,10.4,3.0,16.0,45.0,580.1
2026-06-29,0.0,24.2,9.2,17.9,5.5,60.0,9.0,7.0,17.3,45.0,579.8
2026-06-30,0.3,26.2,5.8,18.4,4.9,64.0,5.2,4.0,4.9,0.0,580.0
2026-07-01,0.0,26.6,8.6,18.8,2.4,61.0,5.6,4.0,6.2,0.0,580.0
2026-07-02,0.0,24.2,7.8,17.5,3.2,65.0,9.0,8.0,12.3,45.0,580.3
2026-07-03,0.0,25.0,7.4,17.9,4.8,62.0,7.8,7.0,13.6,45.0,581.2
2026-07-04,0.0,25.8,7.4,18.6,3.5,57.0,10.8,2.0,16.0,45.0,581.1
2026-07-05,0.0,24.6,5.0,17.0,5.9,65.0,8.1,5.0,8.6,45.0,580.3
2026-07-06,,,11.4,13.2,3.5,94.0,,8.0,0.0,0.0,580.2
